VideoName,E_Y,h,L_Y,L_U,E_U,L_V,E_V,targetBitrate,timeLimitEnc,timeLimitDec,resolution,qp
220,15.05416667,5.330588661,101.8916667,145.175,106.2125,12.87083333,16.47083333,145,9999.0,9999.0,540,44
226,26.2125,8.625223096,85.31666667,121.7875,130.2125,6.870833333,5.5,145,9999.0,9999.0,540,46
232,42.4625,6.932578962,74.37083333,124.0,129.3,11.71666667,8.929166667,145,9999.0,9999.0,540,48
235,27.25833333,35.47224054,92.14583333,117.1083333,134.2,15.24583333,30.35416667,145,9999.0,9999.0,360,45
240,77.525,8.738122552,65.075,125.0041667,130.9916667,27.12083333,28.67083333,145,9999.0,9999.0,1440,50
240,77.525,8.738122552,65.075,125.0041667,130.9916667,27.12083333,28.67083333,300,9999.0,9999.0,1440,50
241,16.50833333,7.447122301,111.5041667,139.0916667,119.9125,7.816666667,6.325,145,9999.0,9999.0,540,42
243,33.875,12.24990281,101.175,132.6958333,116.5958333,24.02916667,19.72083333,145,9999.0,9999.0,720,48
245,20.8,10.35815762,115.425,130.625,124.1166667,5.995833333,4.0875,145,9999.0,9999.0,540,43
246,20.57916667,10.87816921,59.42916667,127.725,127.0,0.0,0.0,145,9999.0,9999.0,360,39
246,20.57916667,10.87816921,59.42916667,127.725,127.0,0.0,0.0,300,9999.0,9999.0,720,41
249,19.25833333,16.25934577,115.8791667,124.2833333,128.35,7.1625,4.833333333,145,9999.0,9999.0,540,47
251,56.53333333,7.292723079,80.99583333,127.9833333,127.1291667,8.520833333,9.529166667,145,9999.0,9999.0,540,45
262,19.1,1.122125159,59.34166667,127.0,129.0,2.729166667,5.0,145,9999.0,9999.0,360,40
262,19.1,1.122125159,59.34166667,127.0,129.0,2.729166667,5.0,300,9999.0,9999.0,540,40
267,35.0625,1.972778113,104.9833333,121.0,129.0,17.97083333,12.47083333,145,9999.0,9999.0,720,49
268,1.033333333,0.471976946,47.45833333,126.7541667,130.4416667,1.0,5.2125,145,9999.0,9999.0,360,39
270,20.0,22.58757268,72.0875,124.3125,132.075,14.72083333,20.52083333,145,9999.0,9999.0,360,44
270,20.0,22.58757268,72.0875,124.3125,132.075,14.72083333,20.52083333,300,9999.0,9999.0,720,46
273,30.17916667,52.23065021,94.8875,124.9875,130.1041667,9.483333333,10.73333333,145,9999.0,9999.0,540,48
282,7.891666667,17.69849993,71.83333333,128.9958333,130.1041667,10.98333333,10.20833333,145,9999.0,9999.0,720,49
283,10.30416667,0.663176532,59.5625,125.55,129.6166667,6.275,6.429166667,145,9999.0,9999.0,720,43
288,51.1875,7.208727105,88.89583333,129.5166667,139.5791667,89.575,199.0583333,145,9999.0,9999.0,360,46
290,44.43333333,20.16928419,65.02916667,126.9,128.0958333,0.304166667,0.579166667,145,9999.0,9999.0,720,47
306,31.975,15.71637379,112.5375,128.0,131.7375,9.908333333,6.429166667,145,9999.0,9999.0,360,42
306,31.975,15.71637379,112.5375,128.0,131.7375,9.908333333,6.429166667,300,9999.0,9999.0,720,45
311,15.08333333,11.89162088,115.2708333,127.7541667,125.3083333,4.720833333,4.8125,145,9999.0,9999.0,540,45
312,32.37083333,4.155040038,55.72916667,124.4416667,130.0,22.67916667,25.42083333,145,9999.0,9999.0,540,47
319,0.933333333,0.49534535,87.16666667,116.2333333,153.875,0.779166667,0.6125,145,9999.0,9999.0,360,39
320,13.2625,3.655182939,89.50416667,117.1833333,133.7083333,6.275,5.0625,145,9999.0,9999.0,360,40
321,50.23333333,4.369683682,92.15833333,127.8083333,126.8208333,15.1,10.14583333,145,9999.0,9999.0,1080,50
323,12.80833333,5.229834523,129.0875,121.5833333,126.1333333,6.720833333,6.091666667,145,9999.0,9999.0,360,40
333,27.10833333,8.077577531,103.9708333,125.4958333,128.2416667,9.341666667,7.85,145,9999.0,9999.0,540,47
334,30.57083333,27.28396119,93.14166667,126.6625,127.4208333,4.579166667,7.179166667,145,9999.0,9999.0,540,45
338,9.958333333,2.342063817,70.65833333,122.9666667,131.2125,4.3875,4.579166667,145,9999.0,9999.0,360,39
347,41.22916667,6.161078008,106.35,128.2083333,125.7333333,11.50833333,7.041666667,145,9999.0,9999.0,540,44
351,4.291666667,3.253112975,59.7625,126.2875,130.5041667,3.429166667,6.875,145,9999.0,9999.0,720,45
353,43.7625,8.478236318,92.5375,124.6541667,126.1791667,9.8,13.08333333,145,9999.0,9999.0,540,43
355,12.09583333,10.20175686,83.90833333,125.05,133.2166667,9.079166667,11.54583333,145,9999.0,9999.0,1080,49
356,17.9875,33.35729021,88.85416667,127.6083333,129.0666667,12.14583333,25.1375,145,9999.0,9999.0,720,50
360,4.033333333,1.157058435,51.50833333,125.2291667,134.4416667,2.0,10.075,145,9999.0,9999.0,720,45
361,34.7625,8.609376234,110.875,131.0416667,115.8625,8.3375,9.108333333,145,9999.0,9999.0,540,44
365,39.2625,8.333783195,86.925,132.4416667,146.5916667,70.35833333,144.1333333,145,9999.0,9999.0,360,45
365,39.2625,8.333783195,86.925,132.4416667,146.5916667,70.35833333,144.1333333,600,9999.0,9999.0,1080,45
371,5.85,1.149170593,55.45833333,124.0,134.0,5.858333333,9.35,145,9999.0,9999.0,1080,49
379,50.46666667,13.77177469,56.89166667,126.0333333,128.5041667,15.1375,7.358333333,145,9999.0,9999.0,360,43
379,50.46666667,13.77177469,56.89166667,126.0333333,128.5041667,15.1375,7.358333333,300,9999.0,9999.0,720,45
379,50.46666667,13.77177469,56.89166667,126.0333333,128.5041667,15.1375,7.358333333,600,9999.0,9999.0,1080,45
385,25.34583333,20.31318536,59.36666667,122.4375,131.8708333,13.60833333,15.7625,145,9999.0,9999.0,360,44
390,9.625,12.41877484,113.8125,112.0166667,143.375,6.329166667,6.666666667,145,9999.0,9999.0,360,41
390,9.625,12.41877484,113.8125,112.0166667,143.375,6.329166667,6.666666667,300,9999.0,9999.0,720,41
391,26.64583333,6.836577197,61.5875,128.0,126.6875,4.95,1.995833333,145,9999.0,9999.0,360,39
391,26.64583333,6.836577197,61.5875,128.0,126.6875,4.95,1.995833333,600,9999.0,9999.0,1080,39
396,6.45,3.546575485,142.6,97.9625,120.0,6.016666667,3.695833333,145,9999.0,9999.0,360,39
398,15.56666667,20.10779078,83.85416667,117.6208333,154.2333333,6.866666667,18.60416667,145,9999.0,9999.0,360,44
404,23.35833333,14.29633264,71.89166667,119.825,129.8791667,11.2375,16.03333333,145,9999.0,9999.0,540,47
407,12.77916667,19.72265424,67.0875,125.3291667,125.95,9.908333333,9.016666667,145,9999.0,9999.0,1080,50
410,16.14166667,20.54389837,77.13333333,135.55,128.1166667,15.62916667,10.84166667,145,9999.0,9999.0,360,44
411,43.79166667,4.871350431,90.1875,118.3916667,122.7,24.95833333,23.69583333,145,9999.0,9999.0,540,46
412,29.55416667,24.24624062,69.9625,124.4791667,140.5166667,12.925,23.41666667,145,9999.0,9999.0,540,47
420,8.004166667,1.793216079,108.2541667,118.8291667,126.8041667,8.533333333,6.516666667,145,9999.0,9999.0,720,44
422,43.425,6.920544854,90.8625,122.6791667,126.9166667,11.47083333,12.89583333,145,9999.0,9999.0,540,45
423,17.7625,7.810588699,109.7333333,127.5625,130.0708333,9.383333333,13.27083333,145,9999.0,9999.0,540,47
433,9.916666667,2.817783515,91.52916667,131.2541667,125.4833333,11.12083333,14.5875,145,9999.0,9999.0,540,40
433,9.916666667,2.817783515,91.52916667,131.2541667,125.4833333,11.12083333,14.5875,300,9999.0,9999.0,1080,44
437,25.04166667,35.67652354,101.5916667,126.1083333,131.725,8.791666667,12.8875,145,9999.0,9999.0,540,48
439,24.82083333,13.31540017,62.4375,125.0083333,130.5208333,9.779166667,8.129166667,145,9999.0,9999.0,540,48
444,23.09583333,11.55692029,107.5875,131.15,133.4291667,10.74583333,18.14166667,145,9999.0,9999.0,540,46
456,19.67916667,39.42467197,101.1708333,123.3541667,131.0583333,5.625,7.570833333,145,9999.0,9999.0,540,47
462,11.45833333,3.390089707,78.09583333,125.0,135.15,6.4,13.67916667,145,9999.0,9999.0,720,49
465,35.9375,8.794125084,83.32916667,123.9333333,128.8041667,8.583333333,6.8625,145,9999.0,9999.0,540,47
466,34.5375,22.40820377,89.35,125.0708333,128.4625,7.645833333,4.991666667,145,9999.0,9999.0,540,48
467,16.64583333,8.495321243,61.7375,122.7875,132.6458333,9.054166667,10.29166667,145,9999.0,9999.0,540,47
468,24.375,10.81780703,112.3208333,135.4791667,120.1208333,7.241666667,8.9875,145,9999.0,9999.0,540,46
470,7.6875,2.491643347,65.49166667,127.0,125.5958333,1.870833333,3.708333333,145,9999.0,9999.0,360,37
470,7.6875,2.491643347,65.49166667,127.0,125.5958333,1.870833333,3.708333333,900,9999.0,9999.0,1440,37
